name	preview	download
Calistoga-Regular	https://fonts.google.com/specimen/Calistoga	https://raw.githubusercontent.com/google/fonts/main/ofl/calistoga/Calistoga-Regular.ttf
Stalemate-Regular	https://fonts.google.com/specimen/Stalemate	https://raw.githubusercontent.com/google/fonts/main/ofl/stalemate/Stalemate-Regular.ttf
ShareTech-Regular	https://fonts.google.com/specimen/Share+Tech	https://raw.githubusercontent.com/google/fonts/main/ofl/sharetech/ShareTech-Regular.ttf
AveriaLibre-BoldItalic	https://fonts.google.com/specimen/Averia+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/averialibre/AveriaLibre-BoldItalic.ttf
AveriaLibre-Regular	https://fonts.google.com/specimen/Averia+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/averialibre/AveriaLibre-Regular.ttf
AveriaLibre-LightItalic	https://fonts.google.com/specimen/Averia+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/averialibre/AveriaLibre-LightItalic.ttf
AveriaLibre-Italic	https://fonts.google.com/specimen/Averia+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/averialibre/AveriaLibre-Italic.ttf
AveriaLibre-Light	https://fonts.google.com/specimen/Averia+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/averialibre/AveriaLibre-Light.ttf
AveriaLibre-Bold	https://fonts.google.com/specimen/Averia+Libre	https://raw.githubusercontent.com/google/fonts/main/ofl/averialibre/AveriaLibre-Bold.ttf
SignikaNegative-Bold	https://fonts.google.com/specimen/Signika+Negative	https://raw.githubusercontent.com/google/fonts/main/ofl/signikanegative/SignikaNegative-Bold.ttf
SignikaNegative-SemiBold	https://fonts.google.com/specimen/Signika+Negative	https://raw.githubusercontent.com/google/fonts/main/ofl/signikanegative/SignikaNegative-SemiBold.ttf
SignikaNegative-Regular	https://fonts.google.com/specimen/Signika+Negative	https://raw.githubusercontent.com/google/fonts/main/ofl/signikanegative/SignikaNegative-Regular.ttf
SignikaNegative-Light	https://fonts.google.com/specimen/Signika+Negative	https://raw.githubusercontent.com/google/fonts/main/ofl/signikanegative/SignikaNegative-Light.ttf
BarlowSemiCondensed-Black	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Black.ttf
BarlowSemiCondensed-Regular	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Regular.ttf
BarlowSemiCondensed-Italic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Italic.ttf
BarlowSemiCondensed-ExtraBold	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-ExtraBold.ttf
BarlowSemiCondensed-LightItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-LightItalic.ttf
BarlowSemiCondensed-ExtraBoldItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-ExtraBoldItalic.ttf
BarlowSemiCondensed-Thin	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Thin.ttf
BarlowSemiCondensed-Bold	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Bold.ttf
BarlowSemiCondensed-ExtraLightItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-ExtraLightItalic.ttf
